idx,label,text,image_path
904631925020680196,-1,How Harvey Helped Republicans Stop Fighting https://t.co/8bxIK8MnIf #USPolitics via @TheAtlantic https://t.co/BJX0Orvc5j,data_image/hurricane_harvey/4_9_2017/904631925020680196_0.jpg
905721230472437761,-1,Telegraph Pics: Hurricane Irma strengthens over northern Caribbean on its way towards US https://t.co/tttUI2xzvG https://t.co/xJKZTSEwM0,data_image/hurricane_irma/7_9_2017/905721230472437761_0.jpg
914049823124451328,-1,#Maria beginning extratropical transition https://t.co/hku3Xeq1BK https://t.co/qiYMu7fuo4,data_image/hurricane_maria/30_9_2017/914049823124451328_0.jpg
904886058608984064,-1,HELP PEOPLE AFFECTED BY @HURRICANEHARVEY @EmbraceRelief https://t.co/hq3rHYcaV4 https://t.co/DVe8WtNzUV,data_image/hurricane_harvey/5_9_2017/904886058608984064_0.jpg
880445780414402561,-1,Rick Mora á¾‘7á¾‘7â˜ºâ˜ºá½¡Aá½¡A https://t.co/F0FWXcieEr,data_image/srilanka_floods/29_6_2017/880445780414402561_0.jpg
913798788095102976,-1,Hurricane Maria â€“ The Aftermath â€“ St CroixÂ USVI https://t.co/uUajdMNHNn https://t.co/3KTBgUD73f,data_image/hurricane_maria/29_9_2017/913798788095102976_0.jpg
915294511579897857,-1,Puerto Rico is keeping track of just how slowly its infrastructure is being rebuilt. https://t.co/yotztmyB4T https://t.co/jJmdvwD59S,data_image/hurricane_maria/3_10_2017/915294511579897857_0.jpg
901767940994985984,-1,@JenCarfagno reporting from Houston on @weatherchannel #HurricaneHarvey. Great job and please be safe. https://t.co/kCIKGCCu6B,data_image/hurricane_harvey/27_8_2017/901767940994985984_0.jpg
915287656027869184,-1,RT @jilevin: Trump in Puerto Rico: 'You've thrown our budget a little out of whack' https://t.co/3i8WO7sWS0 https://t.co/yV0g2JLcgn,data_image/hurricane_maria/3_10_2017/915287656027869184_0.jpg
874583069109477380,-1,Very interesting work by Simone Mora on tiles toolkit :) @acmDIS https://t.co/bexiIbZh40,data_image/srilanka_floods/13_6_2017/874583069109477380_0.jpg
